Timestamp,Day of Week,Source IP,Destination IP,Encrypted Application Data
2023-12-03 18:22:52,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a5d605eac80a31d2fb59dc1098d3ccf8a6c075f
2023-12-03 18:23:32,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a5eeab8d76bf1671664841b15e4f6aca86e462a
2023-12-03 18:24:12,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a5f2d90ed50ef7af894b5b5a3f674bae024f106
2023-12-03 18:24:53,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a609ffae15d9821169a511ff18ee8038beb4abf
2023-12-03 18:25:33,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a614b6a038008cf67261275ac7aebbb4037a95e
2023-12-03 18:26:13,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a62284288771d24f7e157040c76ab772bef77b2
2023-12-03 18:26:53,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a63c388c91c419f9d74501353a10772f31ab09a
2023-12-03 18:27:34,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a646376c6013c4b450339023ad1118b91e53326
2023-12-03 18:28:14,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a6599ac98363ee7962a67b80d82b02ed07d63d6
2023-12-03 18:28:54,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a66238886ca30184d99b19c85991c73dc266e95
2023-12-03 18:29:34,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a67b582104c9651c9b2bd29fabddac4308afb12
2023-12-03 18:30:14,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a68eaeb04754512c0db3d1027cf4cf0a58b34bf
2023-12-03 18:30:54,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a692df4372839032f9e9be37f1d2c7b95b2c4c5
2023-12-03 18:31:35,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a6a770f198e8b54e4625e5320c8ed26b04c4d09
2023-12-03 18:32:15,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a6b23327d73a9a4c1e02058159f201eac5ac381
2023-12-03 18:32:55,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a6c0c04baa49dedee6826fe757511ff3cef9940
2023-12-03 18:33:35,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a6d5450f7d1ae2e02901774e599b647096e9434
2023-12-03 18:34:16,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a6e144250bdc66cac4f8e30bcbf8f3e37c3bdf3
2023-12-03 18:34:56,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a6ffd743a7a71bae80f54a47ffe2fd203bdd289
2023-12-03 18:35:36,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a7049f11a07634b9cbc304b7d4bc6a95bba7729
2023-12-03 18:36:16,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a71be33456539f22815592e0c3320ecf5464e0d
2023-12-03 18:36:57,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a72cbd7263dcfde9d40b87033542179d8033eea
2023-12-03 18:37:37,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a735c387794c4d186d5982f0b732b153816cace
2023-12-03 18:38:17,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a74ee04b26a82a8eae9722a757b7d3575c93778
2023-12-03 18:38:57,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a75438ea9564960b8aaeeda6957a034440d57ee
2023-12-03 18:39:37,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a7634b490d59dc780f08961333be8135028b4ad
2023-12-03 18:40:18,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a7705401f40be9fb27fa78b48928bb618a7a838
2023-12-03 18:40:57,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a78f815c423ac827f4b8d0589f2fc06746c655e
2023-12-03 18:41:38,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a79b1b645904f8864b81be1f598114a93dd8ad4
2023-12-03 18:42:18,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a7a53b60f4aad5d063ffaf5a3331b6242335ebb
2023-12-03 18:42:58,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a7b415dff3fd4c5c192be57c496f31df04b15f0
2023-12-03 18:43:38,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a7ce13b5e1ddf691da7e474b769cc50d7bc08b3
2023-12-03 18:44:19,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a7d06f36f331fb741ccdd465d412cfd6b9fdaef
2023-12-03 18:44:59,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a7efa290cbcb4dad22945cf7784f583cf64c3f6
2023-12-03 18:45:39,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a7ff237102112e3e37f95ae51c7050472a6e2b7
2023-12-03 18:46:19,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a8084e0e2aee4651352e71bc1f12009bf8dcbf4
2023-12-03 18:46:59,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a8176c9089faaf36623fa690890089bc0750a06
2023-12-03 18:47:40,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a82e3b9cef54e67d6d98668100b39f47fd9fced
2023-12-03 18:48:20,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a83803815fc3ef4af59b63e5236b27d3e63f982
2023-12-03 18:49:00,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a84e0db2ae6b00206c3b94117ea27b3d2a6a8ea
2023-12-03 18:49:40,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a8516ca366eaa03b2a3bd685f207b2a3e36677e
2023-12-03 18:50:21,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a86740cf02393cdc06bc7f58577f1192511fe64
2023-12-03 18:51:01,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a8761fa5089a52284bae3116977cd141bc53671
2023-12-03 18:51:41,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a882ba4eb146d7013984f087d6a6e169d8b9504
2023-12-03 18:52:21,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a89b95be133a0effb15927003df5e7526980fc2
2023-12-03 18:53:01,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a8aafec48c271b71b86ce43276651a1f36364bf
2023-12-03 18:53:42,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a8bb98b572728ebc3fc731f8d598f5f780832dd
2023-12-03 18:54:22,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a8c592028e034b8a41473471ff54b0bae6293cc
2023-12-03 18:55:02,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a8d2ff9c2c6ff1657db9afedfaa57a28a4aefd9
2023-12-03 18:55:42,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a8e996b92dc371b88b372706afc007930bd570a
2023-12-03 18:56:22,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a8fc6f3b516cef3159268f5a554a4eba7d33050
